method,crosstalk_strength,fidelity,execution_time,raw_ops_per_sec,effective_ops_per_sec,quantum_volume,info_throughput_bits_per_sec,error_corrected_throughput,execution_time_ms
Qiskit Built-in,0.001,0.9992502500000036,0.004836320877075195,833333.3333333334,832708.5416666697,2,1319811.8125718718,757007.7651515178,4.836320877075195
Qiskit Built-in,0.005,0.996256249999999,0.0029578208923339844,833333.3333333334,830213.5416666658,2,1315857.3311325663,166042.70833333317,2.9578208923339844
Qiskit Built-in,0.01,0.9925249999999999,0.002166271209716797,833333.3333333334,827104.1666666666,2,1310929.0883568877,165420.8333333333,2.166271209716797
Qiskit Built-in,0.02,0.9850999999999982,0.0026836395263671875,833333.3333333334,820916.6666666652,2,1301122.1328836735,16418.333333333303,2.6836395263671875
Qiskit Built-in,0.05,0.9631250000000017,0.002080678939819336,833333.3333333334,802604.1666666681,2,1272097.5070892219,16052.083333333363,2.080678939819336
Qiskit Built-in,0.1,0.9275,0.002077817916870117,833333.3333333334,0.0,2,0.0,0.0,2.077817916870117
Qiskit Built-in,0.15,0.8931249999999995,0.0024356842041015625,833333.3333333334,0.0,2,0.0,0.0,2.4356842041015625
Qiskit Built-in,0.2,0.8599999999999998,0.002454042434692383,833333.3333333334,0.0,2,0.0,0.0,2.454042434692383
