circuit_type,crosstalk_type,crosstalk_strength,num_intersecting_pairs,intersecting_pairs,full_state_fidelity,ideal_purity,noisy_purity,purity_loss,trace_distance,execution_time,total_time_us,raw_ops_per_sec,effective_ops_per_sec,quantum_volume,info_throughput_bits_per_sec,error_corrected_throughput,success_rate
teleportation,amp_phase,0.001,1,"[(2, 4)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.008090496063232422,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.001,2,"[(2, 4), (0, 2)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.005778074264526367,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.001,3,"[(2, 4), (0, 2), (1, 3)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.007368326187133789,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.001,4,"[(2, 4), (0, 2), (1, 3), (0, 1)]",0.9883244250839212,1.0000000000000016,0.976821915531914,0.023178084468087556,0.001493254262953915,0.007177114486694336,1.1,909090.9090909091,898476.750076292,1,898476.750076292,17969.53500152584,0.9883244250839212
teleportation,amp_phase,0.005,1,"[(2, 4)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.006023406982421875,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.005,2,"[(2, 4), (0, 2)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.006013631820678711,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.005,3,"[(2, 4), (0, 2), (1, 3)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.006830692291259766,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.005,4,"[(2, 4), (0, 2), (1, 3), (0, 1)]",0.9853663966840008,1.0000000000000016,0.9710002171728482,0.02899978282715332,0.0016853711454044712,0.0073490142822265625,1.1,909090.9090909091,895787.6333490916,1,895787.6333490916,17915.752666981833,0.9853663966840008
teleportation,amp_phase,0.01,1,"[(2, 4)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.005746603012084961,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.01,2,"[(2, 4), (0, 2)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.005877494812011719,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
