full_state_fidelity,ideal_purity,noisy_purity,purity_loss,trace_distance,execution_time,num_intersecting_pairs,total_time_us,raw_ops_per_sec,effective_ops_per_sec,quantum_volume,info_throughput_bits_per_sec,error_corrected_throughput,success_rate
0.9811186357445356,1.0000000000000004,0.9626389233311368,0.0373610766688636,0.0136736326171872,0.0079221725463867,1,1.1,909090.9090909092,891926.0324950323,1,891926.0324950323,17838.520649900645,0.9811186357445356
0.9844404720908092,1.0000000000000004,0.9691588550535932,0.0308411449464072,0.0109532171093747,0.0063588619232177,2,1.1,909090.9090909092,894945.8837189174,1,894945.8837189174,17898.917674378346,0.9844404720908092
0.9844404720908092,1.0000000000000004,0.9691588550535932,0.0308411449464072,0.0109532171093747,0.0083005428314208,3,1.1,909090.9090909092,894945.8837189174,1,894945.8837189174,17898.917674378346,0.9844404720908092
0.9881405291094456,1.0000000000000004,0.9764422665525057,0.0235577334474947,0.0084768906249997,0.011240005493164,4,1.1,909090.9090909092,898309.5719176779,1,898309.5719176779,17966.19143835356,0.9881405291094456
0.9811186357445356,1.0000000000000004,0.9626389233311368,0.0373610766688636,0.0136736326171872,0.0059072971343994,1,1.1,909090.9090909092,891926.0324950323,1,891926.0324950323,17838.520649900645,0.9811186357445356
0.9805037366983416,1.0000000000000004,0.9614562488533592,0.0385437511466411,0.0149034292968748,0.0114574432373046,2,1.1,909090.9090909092,891367.0333621285,1,891367.0333621285,17827.34066724257,0.9805037366983416
0.9805037366983416,1.0000000000000004,0.9614562488533592,0.0385437511466411,0.0149034292968748,0.0070230960845947,3,1.1,909090.9090909092,891367.0333621285,1,891367.0333621285,17827.34066724257,0.9805037366983416
0.9841840113415362,1.0000000000000004,0.9686620218214606,0.0313379781785398,0.0124469531249999,0.0069117546081542,4,1.1,909090.9090909092,894712.7375832148,1,894712.7375832148,17894.254751664295,0.9841840113415362
0.9811186357445356,1.0000000000000004,0.9626389233311368,0.0373610766688636,0.0136736326171872,0.0061686038970947,1,1.1,909090.9090909092,891926.0324950323,1,891926.0324950323,17838.520649900645,0.9811186357445356
0.9755828172070676,1.0000000000000004,0.9519151684871248,0.0480848315128756,0.0198411945312498,0.0088369846343994,2,1.1,909090.9090909092,886893.4701882433,1,886893.4701882433,17737.869403764867,0.9755828172070676
0.9755828172070676,1.0000000000000004,0.9519151684871248,0.0480848315128756,0.0198411945312498,0.0070981979370117,3,1.1,909090.9090909092,886893.4701882433,1,886893.4701882433,17737.869403764867,0.9755828172070676
0.9792383636943686,1.0000000000000004,0.9590247726869856,0.0409752273130148,0.0174095312499999,0.0075771808624267,4,1.1,909090.9090909092,890216.6942676078,1,890216.6942676078,17804.333885352156,0.9792383636943686
0.9811186357445356,1.0000000000000004,0.9626389233311368,0.0373610766688636,0.0136736326171872,0.0060808658599853,1,1.1,909090.9090909092,891926.0324950323,1,891926.0324950323,17838.520649900645,0.9811186357445356
0.9657409779263514,1.0000000000000004,0.9331235990348452,0.0668764009651552,0.0297167249999997,0.0074617862701416,2,1.1,909090.9090909092,877946.3435694103,1,877946.3435694103,17558.926871388205,0.9657409779263514
0.9657409779263514,1.0000000000000004,0.9331235990348452,0.0668764009651552,0.0297167249999997,0.0074825286865234,3,1.1,909090.9090909092,877946.3435694103,1,877946.3435694103,17558.926871388205,0.9657409779263514
0.9693470680130312,1.0000000000000004,0.940043796927756,0.0599562030722445,0.0273346874999998,0.0084984302520751,4,1.1,909090.9090909092,881224.6072845738,1,881224.6072845738,17624.492145691478,0.9693470680130312
0.9811186357445356,1.0000000000000004,0.9626389233311368,0.0373610766688636,0.0136736326171872,0.0061197280883789,1,1.1,909090.9090909092,891926.0324950323,1,891926.0324950323,17838.520649900645,0.9811186357445356
0.9362154592526106,1.0000000000000004,0.8790736209195242,0.1209263790804762,0.0593433164062499,0.0078487396240234,2,1.1,909090.9090909092,0.0,1,0.0,0.0,0.0
0.9362154592526106,1.0000000000000004,0.8790736209195242,0.1209263790804762,0.0593433164062499,0.0100321769714355,3,1.1,909090.9090909092,0.0,1,0.0,0.0,0.0
0.9396731800018122,1.0000000000000004,0.8854490481011725,0.1145509518988279,0.05711015625,0.0073809623718261,4,1.1,909090.9090909092,0.0,1,0.0,0.0,0.0
0.9811186357445356,1.0000000000000004,0.9626389233311368,0.0373610766688636,0.0136736326171872,0.0061886310577392,1,1.1,909090.9090909092,891926.0324950323,1,891926.0324950323,17838.520649900645,0.9811186357445356
0.8870062604947576,1.0000000000000004,0.796739424865721,0.2032605751342794,0.1087209687499999,0.0070722103118896,2,1.1,909090.9090909092,0.0,1,0.0,0.0,0.0
0.8870062604947576,1.0000000000000004,0.796739424865721,0.2032605751342794,0.1087209687499999,0.0071234703063964,3,1.1,909090.9090909092,0.0,1,0.0,0.0,0.0
0.8902166989205541,1.0000000000000004,0.8022850512541972,0.1977149487458032,0.1067359374999999,0.0073068141937255,4,1.1,909090.9090909092,0.0,1,0.0,0.0,0.0
0.9811186357445356,1.0000000000000004,0.9626389233311368,0.0373610766688636,0.0136736326171872,0.0063297748565673,1,1.1,909090.9090909092,891926.0324950323,1,891926.0324950323,17838.520649900645,0.9811186357445356
0.9854246558593768,1.0000000000000004,0.9710941929796576,0.0289058070203427,0.0099656640624998,0.0072360038757324,2,1.1,909090.9090909092,895840.5962357969,1,895840.5962357969,17916.811924715937,0.9854246558593768
0.9854246558593768,1.0000000000000004,0.9710941929796576,0.0289058070203427,0.0099656640624998,0.0099453926086425,3,1.1,909090.9090909092,895840.5962357969,1,895840.5962357969,17916.811924715937,0.9854246558593768
