link,segment,fidelity_qubit_b_only,fidelity_full_state,latency_sec,throughput_qubits_per_sec,cross_talk_level
N0-N4,N0-R1,0.8535666882784472,0.8535666882784465,1e-05,99999999.99999999,0
N0-N4,R1-R2,0.8535400924079366,0.8535400924079362,1e-05,99999999.99999999,0
N0-N4,R2-N4,0.8535666882784472,0.0,1e-05,99999999.99999999,0
N1-N2,N1-R1,0.8535666882784472,0.0,1e-05,99999999.99999999,0
N1-N2,R1-R2,0.853553390593274,0.8535533905932737,1e-05,99999999.99999999,0
N1-N2,R2-N2,0.853553390593274,0.0,1e-05,99999999.99999999,0
N3-N4,N3-R1,0.853553390593274,0.0,1e-05,99999999.99999999,0
N3-N4,R1-R2,0.853553390593274,0.0,1e-05,99999999.99999999,0
N3-N4,R2-N4,0.853553390593274,0.0,1e-05,99999999.99999999,0
